taxid,date,name
949058,12/15/2020,EXCELLENT POLICE DUTY
949058,3/28/2020,MERITORIOUS POLICE DUTY
949058,3/27/2020,EXCELLENT POLICE DUTY
949058,3/18/2020,MERITORIOUS POLICE DUTY
949058,1/29/2020,EXCELLENT POLICE DUTY
949058,5/5/2016,EXCELLENT POLICE DUTY
949058,10/31/2015,EXCELLENT POLICE DUTY
940212,1/22/2008,EXCELLENT POLICE DUTY
940212,1/22/2008,EXCELLENT POLICE DUTY
938612,6/1/2012,EXCELLENT POLICE DUTY
938612,6/1/2012,EXCELLENT POLICE DUTY
938612,11/21/2010,MERITORIOUS POLICE DUTY
938612,8/15/2009,EXCELLENT POLICE DUTY
938612,7/25/2009,MERITORIOUS POLICE DUTY
938612,7/16/2009,EXCELLENT POLICE DUTY
938612,4/23/2007,EXCELLENT POLICE DUTY
940213,1/24/2024,EXCELLENT POLICE DUTY
940213,1/1/2024,EXCELLENT POLICE DUTY
940213,12/29/2023,EXCELLENT POLICE DUTY
940213,11/16/2023,MERITORIOUS POLICE DUTY
940213,10/21/2023,COMMENDATION
940213,10/20/2023,EXCELLENT POLICE DUTY
940213,9/13/2023,EXCELLENT POLICE DUTY
940213,7/27/2023,MERITORIOUS POLICE DUTY
940213,3/24/2023,EXCELLENT POLICE DUTY
940213,10/19/2009,EXCELLENT POLICE DUTY
940213,1/27/2007,EXCELLENT POLICE DUTY
969754,1/9/2023,EXCELLENT POLICE DUTY
969754,7/24/2022,EXCELLENT POLICE DUTY
930265,9/2/2019,HONORABLE MENTION
930265,9/2/2019,MEDAL FOR VALOR
949059,12/14/2017,MERITORIOUS POLICE DUTY
949059,12/14/2017,MERITORIOUS POLICE DUTY
917716,7/28/2003,MERITORIOUS POLICE DUTY
917716,9/23/2000,EXCELLENT POLICE DUTY
917716,7/14/1997,EXCELLENT POLICE DUTY
953929,11/28/2013,EXCELLENT POLICE DUTY
953929,9/27/2013,MERITORIOUS POLICE DUTY
941027,9/22/2022,MERITORIOUS POLICE DUTY
941027,5/4/2021,MERITORIOUS POLICE DUTY
941027,9/24/2013,MERITORIOUS POLICE DUTY
941027,9/23/2011,HONORABLE MENTION
941027,5/26/2010,EXCELLENT POLICE DUTY
941027,3/24/2010,EXCELLENT POLICE DUTY
941027,10/24/2009,EXCELLENT POLICE DUTY
941027,3/27/2009,EXCELLENT POLICE DUTY
941027,7/3/2008,EXCELLENT POLICE DUTY
941027,4/26/2008,EXCELLENT POLICE DUTY
941027,2/8/2008,EXCELLENT POLICE DUTY
941027,1/8/2008,EXCELLENT POLICE DUTY
941027,11/14/2007,EXCELLENT POLICE DUTY
941027,8/25/2007,MERITORIOUS POLICE DUTY
941027,8/19/2007,EXCELLENT POLICE DUTY
941027,5/5/2007,EXCELLENT POLICE DUTY
936700,6/3/2022,MERITORIOUS POLICE DUTY
936700,5/5/2022,EXCELLENT POLICE DUTY
936700,2/25/2022,EXCELLENT POLICE DUTY
936700,2/22/2022,EXCELLENT POLICE DUTY
936700,9/9/2021,EXCELLENT POLICE DUTY
936700,5/22/2021,EXCELLENT POLICE DUTY
936700,2/13/2021,MERITORIOUS POLICE DUTY
936700,1/22/2021,EXCELLENT POLICE DUTY
936700,12/15/2020,EXCELLENT POLICE DUTY
936700,9/24/2020,EXCELLENT POLICE DUTY
936700,3/12/2020,EXCELLENT POLICE DUTY
936700,1/21/2020,EXCELLENT POLICE DUTY
936700,12/14/2019,MERITORIOUS POLICE DUTY
936700,8/12/2017,EXCELLENT POLICE DUTY
936700,9/24/2015,EXCELLENT POLICE DUTY
940214,9/2/2014,EXCELLENT POLICE DUTY
940214,9/18/2010,MERITORIOUS POLICE DUTY
940214,5/17/2009,EXCELLENT POLICE DUTY
940214,3/14/2009,MERITORIOUS POLICE DUTY
940214,12/4/2007,MERITORIOUS POLICE DUTY
940214,9/21/2007,EXCELLENT POLICE DUTY
940214,8/25/2007,EXCELLENT POLICE DUTY
940214,3/14/2007,EXCELLENT POLICE DUTY
969101,4/30/2022,MERITORIOUS POLICE DUTY
945683,10/12/2022,MERITORIOUS POLICE DUTY
945683,7/28/2010,EXCELLENT POLICE DUTY
959673,10/24/2020,EXCELLENT POLICE DUTY
959673,6/7/2020,EXCELLENT POLICE DUTY
959673,5/18/2020,EXCELLENT POLICE DUTY
959673,5/8/2020,MERITORIOUS POLICE DUTY
959673,4/2/2020,EXCELLENT POLICE DUTY
959673,5/14/2019,EXCELLENT POLICE DUTY
959673,12/7/2018,EXCELLENT POLICE DUTY
959673,11/21/2018,EXCELLENT POLICE DUTY
959673,2/2/2017,EXCELLENT POLICE DUTY
959673,9/26/2016,MERITORIOUS POLICE DUTY
959673,4/29/2016,EXCELLENT POLICE DUTY
974890,11/11/2024,MERITORIOUS POLICE DUTY
974890,7/16/2023,MERITORIOUS POLICE DUTY
974890,3/17/2023,MERITORIOUS POLICE DUTY
964535,10/22/2020,EXCELLENT POLICE DUTY
964535,2/10/2020,EXCELLENT POLICE DUTY
967907,11/3/2022,EXCELLENT POLICE DUTY
967907,9/13/2022,EXCELLENT POLICE DUTY
967907,8/26/2022,MERITORIOUS POLICE DUTY
967907,5/10/2022,MERITORIOUS POLICE DUTY
967907,2/25/2022,MERITORIOUS POLICE DUTY
967907,2/1/2022,EXCELLENT POLICE DUTY
967907,11/9/2021,MERITORIOUS POLICE DUTY
967907,6/4/2021,MERITORIOUS POLICE DUTY
967907,5/21/2021,MERITORIOUS POLICE DUTY
967907,11/19/2020,EXCELLENT POLICE DUTY
923908,2/28/2022,MERITORIOUS POLICE DUTY
923908,2/20/2002,EXCELLENT POLICE DUTY
923908,12/17/2001,EXCELLENT POLICE DUTY
923908,11/9/2001,EXCELLENT POLICE DUTY
923908,8/23/2001,EXCELLENT POLICE DUTY
945786,5/5/2011,MERITORIOUS POLICE DUTY
945786,8/22/2010,EXCELLENT POLICE DUTY
952809,1/23/2018,EXCELLENT POLICE DUTY
952809,3/10/2016,EXCELLENT POLICE DUTY
919129,11/20/2019,EXCELLENT POLICE DUTY
919129,10/13/2019,EXCELLENT POLICE DUTY
919129,6/16/2019,EXCELLENT POLICE DUTY
919129,2/14/2019,EXCELLENT POLICE DUTY
919129,11/4/2018,EXCELLENT POLICE DUTY
919129,4/10/2018,EXCELLENT POLICE DUTY
919129,8/14/2010,EXCELLENT POLICE DUTY
966084,10/31/2023,MERITORIOUS POLICE DUTY
966084,3/21/2023,EXCELLENT POLICE DUTY
966084,11/26/2022,EXCELLENT POLICE DUTY
966084,7/13/2022,EXCELLENT POLICE DUTY
966084,7/13/2022,MERITORIOUS POLICE DUTY
966084,3/7/2022,EXCELLENT POLICE DUTY
966084,3/5/2022,EXCELLENT POLICE DUTY
966084,1/14/2022,EXCELLENT POLICE DUTY
966084,3/18/2021,EXCELLENT POLICE DUTY
966084,3/13/2021,MERITORIOUS POLICE DUTY
966084,7/2/2020,EXCELLENT POLICE DUTY
966084,3/15/2019,EXCELLENT POLICE DUTY
922450,10/26/2013,MERITORIOUS POLICE DUTY
922450,10/12/2004,EXCELLENT POLICE DUTY
922450,7/30/2004,EXCELLENT POLICE DUTY
922450,7/15/2004,EXCELLENT POLICE DUTY
922450,11/21/2003,EXCELLENT POLICE DUTY
922450,3/7/2002,EXCELLENT POLICE DUTY
949061,3/31/2018,EXCELLENT POLICE DUTY
949061,3/3/2012,EXCELLENT POLICE DUTY
949061,11/13/2011,EXCELLENT POLICE DUTY
949061,7/16/2011,MERITORIOUS POLICE DUTY
949061,4/2/2011,EXCELLENT POLICE DUTY
963555,5/19/2021,EXCELLENT POLICE DUTY
963555,1/6/2018,EXCELLENT POLICE DUTY
938617,8/24/2013,EXCEPTIONAL MERIT
938617,3/23/2013,EXCELLENT POLICE DUTY
938617,1/20/2013,EXCELLENT POLICE DUTY
938617,12/27/2012,EXCELLENT POLICE DUTY
938617,10/26/2012,EXCELLENT POLICE DUTY
938617,9/8/2012,EXCELLENT POLICE DUTY
938617,8/19/2012,EXCELLENT POLICE DUTY
938617,1/1/2012,EXCELLENT POLICE DUTY
938617,10/21/2011,EXCELLENT POLICE DUTY
938617,5/13/2011,EXCELLENT POLICE DUTY
938617,10/28/2010,COMMENDATION
938617,7/17/2010,EXCELLENT POLICE DUTY
938617,7/13/2010,EXCELLENT POLICE DUTY
938617,6/27/2010,EXCELLENT POLICE DUTY
938617,7/19/2009,EXCELLENT POLICE DUTY
938617,7/17/2009,COMMENDATION
938617,7/15/2009,EXCELLENT POLICE DUTY
938617,3/15/2009,EXCELLENT POLICE DUTY
938617,2/7/2009,EXCELLENT POLICE DUTY
938617,1/4/2009,EXCELLENT POLICE DUTY
938617,11/19/2008,EXCELLENT POLICE DUTY
938617,10/28/2008,EXCELLENT POLICE DUTY
938617,10/24/2008,EXCELLENT POLICE DUTY
938617,10/18/2008,EXCELLENT POLICE DUTY
938617,9/21/2008,EXCELLENT POLICE DUTY
938617,9/21/2008,EXCELLENT POLICE DUTY
938617,9/5/2008,EXCELLENT POLICE DUTY
938617,7/30/2008,MERITORIOUS POLICE DUTY
956700,10/26/2016,EXCELLENT POLICE DUTY
936702,7/23/2016,EXCELLENT POLICE DUTY
936702,11/18/2014,MERITORIOUS POLICE DUTY
936702,11/27/2011,MERITORIOUS POLICE DUTY
936702,10/4/2011,COMMENDATION
936702,9/11/2008,EXCELLENT POLICE DUTY
949062,10/24/2023,MERITORIOUS POLICE DUTY
949062,10/18/2017,EXCELLENT POLICE DUTY
949062,1/1/2016,EXCELLENT POLICE DUTY
949062,4/20/2015,EXCELLENT POLICE DUTY
949062,1/22/2015,EXCELLENT POLICE DUTY
949062,1/7/2015,MERITORIOUS POLICE DUTY
949062,10/2/2014,EXCELLENT POLICE DUTY
949062,4/10/2014,EXCELLENT POLICE DUTY
949062,2/13/2014,EXCELLENT POLICE DUTY
949062,11/15/2013,EXCELLENT POLICE DUTY
949062,4/18/2013,EXCELLENT POLICE DUTY
949062,3/6/2011,EXCELLENT POLICE DUTY
966085,5/6/2021,EXCELLENT POLICE DUTY
930271,7/17/2014,EXCELLENT POLICE DUTY
930271,3/1/2006,EXCELLENT POLICE DUTY
930271,6/17/2005,EXCELLENT POLICE DUTY
930271,3/25/2005,EXCELLENT POLICE DUTY
930271,5/8/2004,EXCELLENT POLICE DUTY
930271,4/4/2004,MERITORIOUS POLICE DUTY-INTEGRITY
930271,2/6/2004,COMMENDATION
952810,10/16/2020,EXCELLENT POLICE DUTY
950533,11/11/2023,EXCELLENT POLICE DUTY
950533,9/16/2023,EXCELLENT POLICE DUTY
950533,4/27/2016,EXCELLENT POLICE DUTY
950533,3/9/2015,MERITORIOUS POLICE DUTY
950533,10/6/2014,EXCELLENT POLICE DUTY
950533,10/15/2012,EXCELLENT POLICE DUTY
950533,5/30/2012,EXCELLENT POLICE DUTY
949063,10/3/2016,EXCELLENT POLICE DUTY
949063,11/28/2015,EXCELLENT POLICE DUTY
949063,11/12/2015,EXCELLENT POLICE DUTY
949063,11/4/2015,EXCELLENT POLICE DUTY
949063,4/15/2014,MERITORIOUS POLICE DUTY
949063,12/22/2013,EXCELLENT POLICE DUTY
949063,7/4/2013,EXCELLENT POLICE DUTY
949063,9/7/2011,EXCELLENT POLICE DUTY
938231,7/3/2014,COMMENDATION
938231,5/29/2013,MERITORIOUS POLICE DUTY
938231,10/25/2012,MERITORIOUS POLICE DUTY
938231,6/4/2012,EXCELLENT POLICE DUTY
938231,10/3/2009,EXCELLENT POLICE DUTY
938231,3/10/2009,MERITORIOUS POLICE DUTY
938231,9/12/2008,EXCELLENT POLICE DUTY
932745,5/1/2015,MERITORIOUS POLICE DUTY
932745,1/30/2014,EXCELLENT POLICE DUTY
932745,6/27/2012,EXCELLENT POLICE DUTY
932745,10/12/2011,MERITORIOUS POLICE DUTY
932745,7/7/2011,EXCELLENT POLICE DUTY
932745,6/23/2011,MERITORIOUS POLICE DUTY
932745,2/26/2011,MERITORIOUS POLICE DUTY
932745,1/13/2010,MERITORIOUS POLICE DUTY
932745,8/12/2009,MERITORIOUS POLICE DUTY-INTEGRITY
932745,1/22/2009,MERITORIOUS POLICE DUTY
932745,8/13/2007,MERITORIOUS POLICE DUTY
932745,7/23/2007,MERITORIOUS POLICE DUTY
932745,7/16/2007,MERITORIOUS POLICE DUTY
945790,11/21/2018,MERITORIOUS POLICE DUTY
945790,10/28/2011,MERITORIOUS POLICE DUTY
945790,3/9/2011,EXCELLENT POLICE DUTY
945790,10/25/2010,EXCELLENT POLICE DUTY
945790,2/14/2009,EXCELLENT POLICE DUTY
945790,12/26/2008,EXCELLENT POLICE DUTY
945790,7/11/2008,EXCELLENT POLICE DUTY
964030,1/2/2023,EXCELLENT POLICE DUTY
964030,12/22/2022,EXCELLENT POLICE DUTY
964030,11/16/2022,EXCELLENT POLICE DUTY
964030,7/22/2022,MERITORIOUS POLICE DUTY
964030,3/4/2022,EXCELLENT POLICE DUTY
964030,11/12/2020,EXCELLENT POLICE DUTY
964030,9/22/2020,EXCELLENT POLICE DUTY
964030,1/27/2019,EXCELLENT POLICE DUTY
964030,7/17/2018,EXCELLENT POLICE DUTY
961796,5/9/2022,EXCELLENT POLICE DUTY
932746,3/3/2010,MERITORIOUS POLICE DUTY
932746,10/30/2009,EXCELLENT POLICE DUTY
932746,4/26/2009,EXCELLENT POLICE DUTY
932746,2/26/2009,MERITORIOUS POLICE DUTY
932746,12/27/2008,EXCELLENT POLICE DUTY
932746,11/7/2008,MERITORIOUS POLICE DUTY
932746,5/11/2008,EXCELLENT POLICE DUTY
932746,4/27/2008,EXCELLENT POLICE DUTY
932746,4/16/2008,EXCELLENT POLICE DUTY
932746,2/26/2008,MERITORIOUS POLICE DUTY
932746,12/26/2007,EXCELLENT POLICE DUTY
932746,11/15/2007,EXCELLENT POLICE DUTY
932746,10/2/2007,EXCELLENT POLICE DUTY
932746,9/18/2007,MERITORIOUS POLICE DUTY
932746,8/23/2007,MERITORIOUS POLICE DUTY
932746,7/13/2007,MERITORIOUS POLICE DUTY
932746,6/25/2007,EXCELLENT POLICE DUTY
932746,2/13/2007,MERITORIOUS POLICE DUTY
932746,1/5/2007,EXCELLENT POLICE DUTY
932746,10/7/2006,EXCELLENT POLICE DUTY
932746,10/2/2006,EXCELLENT POLICE DUTY
932746,3/30/2006,EXCELLENT POLICE DUTY
932746,5/9/2005,EXCELLENT POLICE DUTY
932746,7/20/2004,MERITORIOUS POLICE DUTY
961797,2/24/2021,EXCELLENT POLICE DUTY
956701,2/5/2022,MERITORIOUS POLICE DUTY
956701,11/3/2019,EXCELLENT POLICE DUTY
956701,10/25/2018,EXCELLENT POLICE DUTY
956701,10/2/2018,EXCELLENT POLICE DUTY
956701,1/1/2018,EXCELLENT POLICE DUTY
956701,7/4/2016,EXCELLENT POLICE DUTY
940216,8/17/2021,MERITORIOUS POLICE DUTY
940216,3/12/2021,MERITORIOUS POLICE DUTY
940216,2/11/2021,MERITORIOUS POLICE DUTY
940216,2/4/2021,MERITORIOUS POLICE DUTY
940216,1/20/2021,MERITORIOUS POLICE DUTY
940216,1/3/2021,MERITORIOUS POLICE DUTY
940216,1/1/2021,MERITORIOUS POLICE DUTY
940216,1/1/2021,MERITORIOUS POLICE DUTY
940216,12/29/2020,MERITORIOUS POLICE DUTY
940216,12/6/2020,MERITORIOUS POLICE DUTY
940216,12/3/2020,MERITORIOUS POLICE DUTY
940216,11/28/2020,MERITORIOUS POLICE DUTY
940216,11/7/2020,MERITORIOUS POLICE DUTY
940216,11/1/2020,MERITORIOUS POLICE DUTY
940216,10/20/2020,MERITORIOUS POLICE DUTY
940216,10/10/2020,MERITORIOUS POLICE DUTY
940216,10/10/2020,MERITORIOUS POLICE DUTY
940216,10/3/2020,MERITORIOUS POLICE DUTY
940216,10/1/2020,MERITORIOUS POLICE DUTY
940216,9/26/2020,MERITORIOUS POLICE DUTY
940216,9/24/2020,MERITORIOUS POLICE DUTY
940216,9/13/2020,MERITORIOUS POLICE DUTY
940216,9/13/2020,MERITORIOUS POLICE DUTY
940216,9/7/2020,MERITORIOUS POLICE DUTY
940216,9/6/2020,MERITORIOUS POLICE DUTY
940216,9/5/2020,MERITORIOUS POLICE DUTY
940216,9/5/2020,MERITORIOUS POLICE DUTY
940216,9/3/2020,MERITORIOUS POLICE DUTY
940216,9/2/2020,MERITORIOUS POLICE DUTY
