taxid,group_id,description,recommendation,penalty,type,disposition
947029,1,Unfit for duty while armed.,,"COUNSELING, DEDUCTION OF PENSIONABLE TIME, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, RESTITUTION ($172), SUSPENDED W/O PAY (30 day(s) ), VACATION DAYS (45 day(s) )",charge,GUILTY
947029,1,Failed to make required entries in Department Logs.,,"COUNSELING, DEDUCTION OF PENSIONABLE TIME, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, RESTITUTION ($172), SUSPENDED W/O PAY (30 day(s) ), VACATION DAYS (45 day(s) )",charge,GUILTY
947029,1,"Made or caused to be made false or inaccurate entries in Department records.
Misuse of time.",,"COUNSELING, DEDUCTION OF PENSIONABLE TIME, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, RESTITUTION ($172), SUSPENDED W/O PAY (30 day(s) ), VACATION DAYS (45 day(s) )",charge,GUILTY
947029,1,Operated a motor vehicle while his ability was impaired.,,"COUNSELING, DEDUCTION OF PENSIONABLE TIME, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, RESTITUTION ($172), SUSPENDED W/O PAY (30 day(s) ), VACATION DAYS (45 day(s) )",charge,GUILTY
947029,1,Failed to make proper notifications.,,"COUNSELING, DEDUCTION OF PENSIONABLE TIME, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, RESTITUTION ($172), SUSPENDED W/O PAY (30 day(s) ), VACATION DAYS (45 day(s) )",charge,GUILTY
947029,1,01.Violated patrol rules - failed to provide a business card,TRAINING,TRAINING,allegation,
940000,1,Wrongfully discourteous to an individual known to the Department.,,VACATION DAYS (3 day(s) ),charge,GUILTY
941816,1,"WHILE OFF-DUTY, WRONGFULLY OPERATED A MOTOR VEHICLE WHILE UNDER THE INFLUENCE OF AN INTOXICANT.",,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (35 day(s) ), SUSPENDED W/O PAY (10 day(s) ), VACATION DAYS (15 day(s) )",charge,GUILTY
941816,1,"WHILE OFF-DUTY, WRONGFULLY OPERATED A MOTOR VEHICLE WHILE HIS ABILITY WAS IMPAIRED BY THE CONSUMPTION OF AN INTOXICANT.",,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (35 day(s) ), SUSPENDED W/O PAY (10 day(s) ), VACATION DAYS (15 day(s) )",charge,GUILTY
941816,1,"WHILE OFF-DUTY, WRONGFULLY REFUSED TO SUBMIT TO A CHEMICAL BREATH TEST TO DETERMINE BLOOD ALCOHOL CONCENTRATION.",,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (35 day(s) ), SUSPENDED W/O PAY (10 day(s) ), VACATION DAYS (15 day(s) )",charge,GUILTY
941816,1,"WHILE OFF-DUTY, DID CONSUME AN INTOXICANT TO THE EXTENT THAT HE WAS UNFIT FOR DUTY.",,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (35 day(s) ), SUSPENDED W/O PAY (10 day(s) ), VACATION DAYS (15 day(s) )",charge,GUILTY
941816,1,"WHILE OFF-DUTY, OPERATED A MOTOR VEHICLE WHILE UNDER THE INFLUENCE OF AN INTOXICANT AND COLLIDED WITH A WOODEN UTILITY POLE.",,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (35 day(s) ), SUSPENDED W/O PAY (10 day(s) ), VACATION DAYS (15 day(s) )",charge,GUILTY
950499,1,01.Wrongfully threatened to arrest an individual known to the Department.,B-CD,"B - COMMAND DISCIPLINE, VACATION DAYS (1 day(s) )",allegation,
950499,2,01.Violated patrol rules.,A-CD,,allegation,
