taxid,date,name
960869,3/7/2022,AWARENESS AND RESPONSE TO BIOLOGICAL INCIDENTS
960869,3/7/2022,CLT-TACTICAL AWARENESS AND OFFICER SAFETY
960869,2/22/2022,"INTEGRATING COMMUNICATION, ASSESSMENT AND TACTICS (ICAT) MODULE 4"
960869,2/16/2022,LOCAL LAW 45 OF 2021-TRAFFIC ENCOUNTERS
960869,2/9/2022,CLT-LEGAL ISSUES
960869,2/8/2022,IDENTIFYING THE IMPAIRED DRIVER
960869,1/25/2022,"INTEGRATING COMMUNICATION, ASSESSMENT AND TACTICS (ICAT) MODULE 3"
960869,1/13/2022,CLT-EPERMIT SYSTEM
960869,12/23/2021,CLT-BWC POLICY UPDATES
960869,12/23/2021,CLT-LEGAL ISSUES
960869,12/13/2021,CLT-OCCUPATIONAL-WORKPLACE SAFETY AND HEALTH
960869,12/9/2021,"INTEGRATING COMMUNICATION, ASSESSMENT AND TACTICS (ICAT) MODULE 2"
960869,12/2/2021,"INTEGRATING COMMUNICATION, ASSESSMENT AND TACTICS (ICAT) MODULE 1"
960869,11/29/2021,"HME - HOMEMADE EXPLOSIVES: AWARENESS, RECOGNITION, AND RESPONSE"
960869,11/23/2021,NEIGHBORHOOD POLICING APPLICATION TRAINING VIDEO
960869,10/26/2021,ARRESTS - RELIGIOUS HEAD COVERING GUIDELINES (PG 208-83)
960869,10/21/2021,CLT-OCCUPATIONAL-WORKPLACE SAFETY AND HEALTH
960869,10/20/2021,CLT-OCCUPATIONAL-WORKPLACE SAFETY AND HEALTH
960869,10/12/2021,BODY-WORN CAMERA REVIEW PART ONE
960869,10/12/2021,BODY-WORN CAMERA REVIEW PART TWO
960869,10/12/2021,OPIOID OVERDOSE RECOGNITION AND NARCAN ADMINISTRATION -2021
960869,9/27/2021,DOCUMENT INSPECTION FOR LAW ENFORCEMENT (PER-383)
960869,9/15/2021,INFORMATION SECURITY AWARENESS TRAINING 2021
960869,9/10/2021,MAYOR EXECUTIVE ORDER 78 VACCINATION - TESTING COMPLIANCE POLICY
960869,9/7/2021,ACTIVE BYSTANDERSHIP FOR LAW ENFORCEMENT (ABLE): ONE DAY COURSE
960869,7/30/2021,CLT-INVESTIGATIONS
960869,7/16/2021,CLT-LEGAL ISSUES
960869,7/16/2021,CLT-PROCEDURAL OPERATIONS
960869,7/14/2021,EQUAL EMPLOYMENT OPPORTUNITY TRAINING - SEXUAL HARASSMENT AWARENESS AND PREVENTION 2021
960869,6/29/2021,ACTIVE SHOOTER POST-ENGAGEMENT STRATEGIES’ FOR LAW ENFORCEMENT
960869,6/29/2021,"CLT-UNIFORMS, PERSONAL APPEARANCE AND EQUIPMENT"
960869,6/25/2021,CLT-PROCEDURAL OPERATIONS
960869,6/19/2021,CLT-OCCUPATIONAL-WORKPLACE SAFETY AND HEALTH
960869,6/9/2021,HIGHWAY DRUG IMPAIRED DRIVING COURSE
960869,6/9/2021,HIGHWAY PRELIMINARY BREATH TEST INSTRUMENT TRAINING - PBT
960869,5/25/2021,OVERVIEW OF THE NEW DISCOVERY LAWS 2021 REFRESHER
960869,5/25/2021,PATROL GUIDE 215-17 POLICE ACTIONS RELATED QUESTIONING ARRESTS AND INVESTIGATIONS AT A NYC DEPARTMEN
960869,5/21/2021,ADVANCED TACTICAL FIREARMS TRAINING COURSE
960869,5/21/2021,FTS - ANNUAL CEW RECERTIFICATION
960869,5/18/2021,CLT-OCCUPATIONAL-WORKPLACE SAFETY AND HEALTH
960869,5/17/2021,CLT-OCCUPATIONAL-WORKPLACE SAFETY AND HEALTH
960869,5/5/2021,CHILD SENSITIVE ARREST POLICY GUIDELINES AND PROCEDURES
960869,5/1/2021,CLT-ENFORCEMENT ACTIONS
960869,4/28/2021,CLT-TACTICAL AWARENESS AND OFFICER SAFETY
960869,4/28/2021,EMPLOYEE ASSISTANCE UNIT-2021
960869,4/14/2021,BALLISTIC VEST MEASUREMENT PROGRAM
960869,4/5/2021,EQUAL EMPLOYMENT OPPORTUNITY TRAINING - LGBTQIA+ DIVERSITY AND INCLUSION / EXECUTIVE ORDER 16 OF 201
960869,4/1/2021,CLT-LEGAL ISSUES
960869,3/31/2021,CLT-DOCUMENTATION AND FORMS
960869,3/17/2021,FACILITIES MANAGEMENT DIVISION - MUNICIPAL SEPERATE STORM SEWER SYSTEM (MS4)
960869,3/13/2021,CLT-PROCEDURAL OPERATIONS
960869,3/10/2021,DESK APPEARANCE TICKETS: THE NEW LAW AND THE NEW GUIDELINES FOR PROCESSING DAT'S - 2021 REFRESHER
960869,3/8/2021,"ADVANCED PATROL TACTICS, TACTICAL TRAINING UNIT, POLICE ACADEMY"
960869,3/5/2021,"ADVANCED PATROL TACTICS, IN-TAC UNIT, RODMAN'S NECK"
960869,3/5/2021,CLT-OCCUPATIONAL-WORKPLACE SAFETY AND HEALTH
960869,3/2/2021,CLT-OCCUPATIONAL-WORKPLACE SAFETY AND HEALTH
960869,2/24/2021,CUSTOMER SERVICE PROGRAM: HOW DID WE DO
960869,2/21/2021,"CUSTOMER SERVICE PROGRAM:  ROLL CALL MODULE 2, COMMUNICATION SKILLS"
960869,2/14/2021,"CUSTOMER SERVICE PROGRAM:  ROLL CALL MODULE 1, INTRODUCTION TO PRECINCT GREETER PROGRAM"
960869,1/25/2021,COVID VACCINE DISTRIBUTION AND EDUCATION
960869,12/29/2020,CLT-INVESTIGATIONS
960869,12/10/2020,CLT-OCCUPATIONAL-WORKPLACE SAFETY AND HEALTH
960869,12/3/2020,EQUAL EMPLOYMENT OPPORTUNITY TRAINING - LEAVE TO EXPRESS BREAST MILK
960869,10/1/2020,CONSTITUTIONAL POLICING AT COMMUNITY EVENTS (CPACE)
960869,9/23/2020,FTS - ANNUAL CEW RECERTIFICATION
960869,9/9/2020,2019-20 IN-SERVICE CYCLE - CRITICAL INCIDENT TACTICS AND DEVELOPING EFFECTIVE LEADERSHIP SKILLS
960869,8/26/2020,2019-2020 IN-SERVICE CYCLE - TEAM TACTICS REFRESHER
960869,7/8/2020,HEALTH AND WELLNESS SECTION - MODULE 12 - IN THAT DARK PLACE - AN OFFICER'S JOURNEY
960869,7/8/2020,HEALTH AND WELLNESS SECTION - MODULE 5 - GAINING PERSPECTIVE
960869,7/8/2020,HEALTH AND WELLNESS SECTION - MODULE 6 - COPING WITH SIGNS OF ANXIETY DEPRESSION
960869,7/8/2020,HEALTH AND WELLNESS SECTION - MODULE 7 - LEADING WITH COMPASSION
960869,7/8/2020,"HEALTH AND WELLNESS SECTION - MODULE 8 - WARNING SIGNS, SUPPORT AND OUTREACH"
960869,7/8/2020,HEALTH AND WELLNESS SECTION - MODULE 9 - MANAGING STRESS ON THE JOB
960869,7/8/2020,VICTIM BLAMING AND RELEASE OF INFORMATION TO THE MEDIA
960869,7/3/2020,"EQUAL EMPLOYMENT OPPORTUNITY TRAINING - SEXUAL HARASSMENT, AWARENESS AND PREVENTION"
960869,7/3/2020,NEW LAWS AFFECTING POLICE OFFICERS’ CRIMINAL AND CIVIL LIABILITY
960869,5/26/2020,COVID-19: PREPAREDNESS YOUR FAMILY AND HOME
960869,5/26/2020,HEALTH AND WELLNESS SECTION - MODULE 1 - PSYCHOLOGICAL HEALTH AND WELLNESS
960869,5/26/2020,HEALTH AND WELLNESS SECTION - MODULE 10 - SEEKING AND RECEIVING MENTAL HEALTH SUPPORT
960869,5/26/2020,HEALTH AND WELLNESS SECTION - MODULE 11 - HEALTH AND RESILIENCY
960869,5/26/2020,HEALTH AND WELLNESS SECTION - MODULE 2 - JOB COUNSELING AND STRESS
960869,5/26/2020,HEALTH AND WELLNESS SECTION - MODULE 3 - WARNING SIGNS
960869,5/26/2020,HEALTH AND WELLNESS SECTION - MODULE 4 - CUMULATIVE TRAUMA
960869,5/11/2020,COVID-19: PREPAREDENESS
960869,5/11/2020,COVID-19: PROTECTIVE MASKS
960869,5/7/2020,SAFETY CONSIDERATIONS FOR PATROLLING THE NYC SUBWAY SYSTEM -DANGERS OF THE PLATFORM EDGE
960869,3/4/2020,UTILIZING BALLISTIC PROTECTION IN DEPARTMENT VEHICLES (4:09)
960869,2/21/2020,FTS - TACTICAL TRAINING CENTER 111 PCT - SESSION 2
960869,2/15/2020,CRIMINAL JUSTICE BUREAU - GIGLIO MATERIAL DISCLOSURES UNDER THE NEW DISCOVERY LAWS
960869,1/21/2020,PROCESSING DISCOVERY MATERIAL IN THE FORMS ARREST FOLDER
960869,1/8/2020,CROSSFIRE MITIGATION DURING CLOSE COMBAT INCIDENTS - PART 2
960869,12/12/2019,ACTIVITY LOG FOR IPHONE
960869,12/12/2019,CROSSFIRE MITIGATION DURING CLOSE COMBAT INCIDENTS
960869,12/11/2019,CJB - DESK APPEARANCE TICKETS: THE NEW LAWS AND GUIDELINES FOR PROCESSING DATS
960869,12/11/2019,CJB - OVERVIEW OF THE NEW DISCOVERY LAWS
960869,12/4/2019,RESPONDING TO COMMERCIAL ROBBERIES PART LL - MODULE 1 AND MODULE 2
960869,11/27/2019,FTS - ANNUAL CEW RECERTIFICATION
960869,11/20/2019,CPS ANTI-CRIME RISK TRAINING
960869,11/13/2019,DISCHARGING YOUR FIREARM AT A MOVING THREAT
960869,10/29/2019,CRIMINAL JUSTICE BUREAU - DNA TRAINING VIDEO
960869,10/29/2019,FORCE POLICY UPDATE VIDEO
960869,10/23/2019,PLAIN CLOTHES TRAINING CERTIFIED BASIC PLAIN-CLOTHES COURSE
960869,10/18/2019,CLT-DOCUMENTATION AND FORMS
960869,10/17/2019,CLT-DOCUMENTATION AND FORMS
960869,10/16/2019,CLT-ENFORCEMENT ACTIONS
960869,10/4/2019,CRITICAL DECISION MAKING MODEL
960869,10/4/2019,MARIJUANA POLICY UPDATE
960869,10/1/2019,FTS - TACTICAL TRAINING CENTER 111 PCT - SESSION 2
